,RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
333,334,"Jacque Vaughn, PG",UTAH,78,11.3,-2.94,0.45,-2.49,-0.03
334,335,"Jason Williams, PG",SAC,81,34.1,2.08,-4.58,-2.5,-0.16
335,336,"Chris Carr, G",GS/CHI,57,20.5,-1.69,-0.81,-2.5,-0.06
336,337,"Pervis Ellison, F",BOS,30,9.0,-2.41,-0.16,-2.58,-0.03
337,338,"Sean Marks, PF",TOR,5,2.4,-2.03,-0.58,-2.61,-0.0
338,339,"Keith Closs, C",LAC,57,14.4,-1.44,-1.2,-2.63,-0.12
339,340,"Tyronn Lue, PG",LAL,8,18.3,-1.16,-1.49,-2.64,-0.02
340,341,"Jonathan Bender, SF",IND,24,5.4,-0.53,-2.12,-2.65,-0.02
341,342,"Bill Wennington, C",SAC,7,8.1,-3.35,0.68,-2.66,-0.01
342,343,"Jamie Feick, F",NJ,81,27.7,-2.26,-0.44,-2.69,-0.42
343,344,"Horace Grant, C",SEA,76,35.4,-2.46,-0.24,-2.7,-0.51
344,345,"Jason Caffey, F",GS,71,30.4,-1.34,-1.38,-2.72,-0.45
345,346,"Jamel Thomas, F",BOS/GS,7,6.6,-1.0,-1.74,-2.74,-0.01
346,347,"Milt Palacio, PG",VAN,53,7.4,-3.75,0.99,-2.76,-0.08
347,348,"Samaki Walker, PF",SA,71,13.8,-1.82,-0.95,-2.77,-0.23
348,349,"Jeff McInnis, PG",LAC,25,23.9,-0.62,-2.16,-2.78,-0.15
349,350,"Derek Strong, F",ORL,20,7.4,-1.77,-1.02,-2.79,-0.04
350,351,"Bruno Sundov, C",DAL,14,4.4,-2.14,-0.67,-2.81,-0.02
351,352,"Tim Young, C",GS,25,5.5,-1.59,-1.22,-2.81,-0.04
352,353,"Hersey Hawkins, G",CHI,61,26.6,-2.45,-0.38,-2.83,-0.43
353,354,"Doug West, F",VAN,38,15.3,-2.76,-0.07,-2.83,-0.16
354,355,"William Avery, G",MIN,59,8.2,-0.44,-2.47,-2.91,-0.15
355,356,"Todd Fuller, C",CHA,41,9.7,-2.63,-0.29,-2.92,-0.13
356,357,"Tony Massenburg, PF",HOU,10,10.9,-2.24,-0.69,-2.93,-0.04
357,358,"John Thomas, C",TOR,55,8.7,-2.47,-0.5,-2.97,-0.17
358,359,"Steve Kerr, G",SA,32,8.4,-1.31,-1.68,-2.99,-0.1
359,360,"Tim Legler, G",GS,23,12.3,-1.6,-1.43,-3.03,-0.12
360,361,"Tim Legler, G",GS,23,12.3,-1.6,-1.43,-3.03,-0.12
361,362,"John Amaechi, PF",ORL,80,21.1,-1.72,-1.31,-3.03,-0.71
362,363,"Anthony Johnson, PG",ATL/ORL,56,11.4,-2.28,-0.77,-3.04,-0.27
363,364,"Erick Dampier, C",GS,21,23.6,-2.09,-0.99,-3.08,-0.23
364,365,"J.R. Reid, F",MIL,34,17.7,-3.09,-0.01,-3.1,-0.27
365,366,"Fred Vinson, G",SEA,8,5.0,-3.15,0.04,-3.11,-0.02
366,367,"Pete Chilcutt, F",UTAH/LAC/CLE,56,10.7,-2.09,-1.05,-3.14,-0.29
367,368,"Tariq Abdul-Wahad, SF",ORL/DEN,61,25.9,-0.41,-2.73,-3.15,-0.84
368,369,"Stanley Roberts, C",PHI,5,10.2,-2.6,-0.56,-3.16,-0.03
369,370,"Antonio Harvey, F",POR,19,7.2,-2.68,-0.51,-3.18,-0.06
370,371,"Dion Glover, SG",ATL,30,14.9,-0.14,-3.05,-3.18,-0.23
371,372,"Michael Curry, SF",DET,82,19.6,-3.11,-0.09,-3.21,-0.88
372,373,"Corliss Williamson, PF",SAC,76,22.5,-0.06,-3.16,-3.22,-0.99
373,374,"B.J. Armstrong, G",CHI,27,21.6,-2.13,-1.1,-3.22,-0.3
374,375,"Lorenzen Wright, PF",ATL,75,16.1,-0.98,-2.25,-3.23,-0.66
375,376,"Sam Jacobson, G",LAL/GS,52,13.1,-0.65,-2.61,-3.26,-0.4
376,377,"Johnny Taylor, F",DEN/ORL,6,5.7,-2.87,-0.4,-3.28,-0.02
377,378,"Chucky Brown, F",SA/CHA,63,17.4,-3.0,-0.37,-3.36,-0.68
378,379,"Alan Henderson, PF",ATL,82,33.8,-1.36,-2.07,-3.43,-1.88
379,380,"Aleksandar Radojevic, C",TOR,3,8.0,-3.44,0.01,-3.43,-0.02
380,381,"Cedric Henderson, NA",,--,--,-3.83,0.4,-3.43,-0.77
