,PLAYER,TEAM,AGE,GP,W,L,MIN,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,OPP PTS PAINT,DEF WS
128,Rudy Gay,UTA,35,55,34,21,18.9,104.9,3.4,16.6,23.5,0.5,15.4,0.3,18.8,6.4,4.5,4.3,16.8,0.087
129,Keldon Johnson,SAS,22,75,33,42,31.9,111.1,5.0,14.8,21.9,0.8,15.7,0.2,5.6,9.2,9.3,7.8,33.5,0.087
130,Kevin Love,CLE,33,74,38,36,22.5,107.4,6.1,25.8,36.9,0.4,11.1,0.2,14.4,8.4,5.6,6.3,21.9,0.087
131,Brandon Clarke,MEM,25,64,44,20,19.5,105.7,3.2,14.8,22.0,0.6,15.7,1.1,31.8,6.1,6.4,4.7,19.1,0.087
132,Monte Morris,DEN,27,75,44,31,29.9,110.4,2.7,8.7,12.0,0.7,18.4,0.2,8.4,10.4,6.8,7.5,32.0,0.087
133,Taj Gibson,NYK,37,52,24,28,18.2,104.2,2.7,13.9,20.7,0.4,16.4,0.8,45.5,5.1,5.3,3.9,15.0,0.086
134,Donovan Mitchell,UTA,25,67,41,26,33.8,111.7,3.4,9.6,13.9,1.5,28.1,0.2,5.0,11.5,9.5,8.0,32.8,0.086
135,Franz Wagner,ORL,20,79,21,58,30.7,110.8,3.4,10.6,15.0,0.9,20.6,0.4,14.5,10.3,8.3,7.7,27.1,0.086
136,Cole Anthony,ORL,22,65,18,47,31.7,111.1,4.9,14.5,20.6,0.7,17.6,0.3,7.8,11.2,8.7,7.9,28.4,0.085
137,Karl-Anthony Towns,MIN,26,74,44,30,33.5,111.6,7.2,21.0,31.2,1.0,16.4,1.1,31.2,11.0,9.5,10.5,33.2,0.085
138,Gary Harris,ORL,27,61,16,45,28.4,110.1,1.4,4.8,7.0,1.0,21.5,0.1,5.6,9.8,7.7,7.3,26.9,0.085
139,Aaron Gordon,DEN,26,75,46,29,31.7,111.1,4.2,12.9,17.8,0.6,13.6,0.6,25.4,11.4,7.2,8.1,33.9,0.085
140,Aleksej Pokusevski,OKC,20,61,19,42,20.2,106.1,4.0,18.9,26.8,0.6,19.2,0.6,30.9,6.8,5.3,4.0,18.0,0.084
141,Jusuf Nurkic,POR,27,56,25,31,28.2,110.1,8.1,28.3,38.9,1.1,24.8,0.6,21.9,9.1,6.1,8.0,25.9,0.084
142,Max Strus,MIA,26,68,46,22,23.3,108.1,2.6,11.2,15.9,0.4,13.3,0.2,15.8,8.3,5.8,6.0,19.4,0.084
143,Jaden McDaniels,MIN,21,70,40,30,25.8,109.3,3.1,11.5,17.4,0.7,16.3,0.8,24.0,8.7,7.7,7.0,23.4,0.084
144,Chuma Okeke,ORL,23,70,21,49,25.0,109.1,4.3,16.5,23.9,1.4,33.3,0.6,25.6,8.5,6.3,5.9,24.0,0.083
145,Braxton Key,DET,25,11,5,6,17.9,105.2,3.4,18.7,30.6,0.9,23.8,1.0,35.5,4.5,4.3,3.1,18.7,0.083
146,Miles Bridges,CHA,24,80,41,39,35.5,112.4,5.9,15.8,23.5,0.9,15.1,0.8,23.3,11.8,11.1,9.3,35.6,0.082
147,Obi Toppin,NYK,24,72,32,40,17.1,104.0,2.8,15.5,22.7,0.3,11.6,0.5,27.3,5.3,4.3,2.9,14.1,0.082
148,Kevon Looney,GSW,26,82,53,29,21.1,107.2,4.7,21.0,29.8,0.6,16.7,0.6,30.2,7.5,5.6,5.8,19.9,0.082
149,Terry Rozier,CHA,28,73,38,35,33.7,112.0,3.5,10.1,14.9,1.3,21.5,0.3,10.7,11.1,10.1,9.6,33.6,0.082
150,Devin Vassell,SAS,21,71,29,42,27.3,110.2,3.7,12.8,19.5,1.1,23.5,0.6,20.7,9.1,7.7,6.5,28.0,0.082
151,Steven Adams,MEM,28,76,51,25,26.3,109.5,5.4,19.8,27.8,0.9,18.1,0.8,26.4,7.9,6.5,7.3,25.7,0.082
152,Patty Mills,BKN,33,81,44,37,29.0,110.7,1.7,5.5,8.4,0.6,15.2,0.2,6.4,10.3,8.4,8.7,29.2,0.082
153,Isaiah Hartenstein,LAC,24,68,37,31,17.9,105.0,3.2,15.8,24.2,0.7,24.4,1.1,50.3,6.7,6.1,4.9,18.4,0.082
154,Bojan Bogdanovic,UTA,33,69,45,24,30.9,111.4,3.4,10.6,15.4,0.5,10.5,0.0,0.4,10.6,8.7,7.7,30.4,0.081
155,Robert Covington,LAC,31,71,34,37,27.3,110.2,4.7,16.7,24.1,1.5,30.3,1.3,39.6,8.7,7.3,6.9,25.9,0.081
